nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 2145  Val samples: 543

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 97,379,069  Trainable: 4,064,560

=== Phase1 Epoch 0/49 ===
  Epoch 1 [240/537] loss=0.2197 mask=0.1739 iou=0.0458
  Epoch 1 [250/537] loss=0.2204 mask=0.1744 iou=0.0460
  Epoch 1 [260/537] loss=0.2204 mask=0.1743 iou=0.0461
  Epoch 1 [270/537] loss=0.2197 mask=0.1736 iou=0.0462
  Epoch 1 [280/537] loss=0.2179 mask=0.1723 iou=0.0456
  Epoch 1 [290/537] loss=0.2162 mask=0.1713 iou=0.0449
  Epoch 1 [300/537] loss=0.2150 mask=0.1705 iou=0.0445
  Epoch 1 [310/537] loss=0.2162 mask=0.1712 iou=0.0450
  Epoch 1 [320/537] loss=0.2139 mask=0.1690 iou=0.0449
  Epoch 1 [330/537] loss=0.2147 mask=0.1695 iou=0.0452
  Epoch 1 [340/537] loss=0.2158 mask=0.1702 iou=0.0455
  Epoch 1 [350/537] loss=0.2172 mask=0.1713 iou=0.0458
  Epoch 1 [360/537] loss=0.2174 mask=0.1717 iou=0.0457
  Epoch 1 [370/537] loss=0.2185 mask=0.1725 iou=0.0459
  Epoch 1 [380/537] loss=0.2156 mask=0.1702 iou=0.0454
  Epoch 1 [390/537] loss=0.2136 mask=0.1685 iou=0.0452
  Epoch 1 [400/537] loss=0.2153 mask=0.1695 iou=0.0457
  Epoch 1 [410/537] loss=0.2148 mask=0.1692 iou=0.0457
  Epoch 1 [420/537] loss=0.2150 mask=0.1693 iou=0.0457
  Epoch 1 [430/537] loss=0.2129 mask=0.1676 iou=0.0453
  Epoch 1 [440/537] loss=0.2147 mask=0.1688 iou=0.0459
  Epoch 1 [450/537] loss=0.2131 mask=0.1675 iou=0.0456
