nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 2145  Val samples: 543

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 97,379,069  Trainable: 4,064,560

=== Phase1 Epoch 0/49 ===
  Epoch 1 [240/537] loss=0.1491 mask=0.1211 iou=0.0279
  Epoch 1 [250/537] loss=0.1489 mask=0.1212 iou=0.0277
  Epoch 1 [260/537] loss=0.1481 mask=0.1208 iou=0.0273
  Epoch 1 [270/537] loss=0.1467 mask=0.1199 iou=0.0269
  Epoch 1 [280/537] loss=0.1480 mask=0.1211 iou=0.0269
  Epoch 1 [290/537] loss=0.1487 mask=0.1216 iou=0.0271
  Epoch 1 [300/537] loss=0.1478 mask=0.1210 iou=0.0268
  Epoch 1 [310/537] loss=0.1468 mask=0.1202 iou=0.0266
  Epoch 1 [320/537] loss=0.1464 mask=0.1199 iou=0.0265
  Epoch 1 [330/537] loss=0.1478 mask=0.1207 iou=0.0272
  Epoch 1 [340/537] loss=0.1481 mask=0.1208 iou=0.0273
  Epoch 1 [350/537] loss=0.1475 mask=0.1205 iou=0.0270
  Epoch 1 [360/537] loss=0.1473 mask=0.1204 iou=0.0269
  Epoch 1 [370/537] loss=0.1471 mask=0.1202 iou=0.0269
  Epoch 1 [380/537] loss=0.1472 mask=0.1200 iou=0.0272
  Epoch 1 [390/537] loss=0.1477 mask=0.1204 iou=0.0273
  Epoch 1 [400/537] loss=0.1483 mask=0.1210 iou=0.0273
  Epoch 1 [410/537] loss=0.1489 mask=0.1213 iou=0.0276
  Epoch 1 [420/537] loss=0.1495 mask=0.1219 iou=0.0277
  Epoch 1 [430/537] loss=0.1491 mask=0.1216 iou=0.0275
  Epoch 1 [440/537] loss=0.1490 mask=0.1216 iou=0.0275
  Epoch 1 [450/537] loss=0.1483 mask=0.1209 iou=0.0274
  Epoch 1 [460/537] loss=0.1475 mask=0.1202 iou=0.0273
  Epoch 1 [470/537] loss=0.1472 mask=0.1199 iou=0.0273
  Epoch 1 [480/537] loss=0.1472 mask=0.1199 iou=0.0272
  Epoch 1 [490/537] loss=0.1468 mask=0.1196 iou=0.0271
  Epoch 1 [500/537] loss=0.1472 mask=0.1199 iou=0.0273
  Epoch 1 [510/537] loss=0.1471 mask=0.1197 iou=0.0273
  Epoch 1 [520/537] loss=0.1475 mask=0.1201 iou=0.0274
  Epoch 1 [530/537] loss=0.1466 mask=0.1194 iou=0.0272
  Train: loss=0.1485 mask=0.1211 iou=0.0274 time=456.6s
  Val epoch 1: loss=0.2071
  Saved best phase1 model (val_loss=0.2071)

=== Phase1 Epoch 2/49 ===
  Epoch 2 [10/537] loss=0.1227 mask=0.1028 iou=0.0199
  Epoch 2 [20/537] loss=0.1180 mask=0.0981 iou=0.0199
  Epoch 2 [30/537] loss=0.1244 mask=0.1037 iou=0.0207
  Epoch 2 [40/537] loss=0.1283 mask=0.1050 iou=0.0233
  Epoch 2 [50/537] loss=0.1254 mask=0.1025 iou=0.0229
  Epoch 2 [60/537] loss=0.1284 mask=0.1052 iou=0.0231
  Epoch 2 [70/537] loss=0.1258 mask=0.1041 iou=0.0217
  Epoch 2 [80/537] loss=0.1256 mask=0.1030 iou=0.0226
  Epoch 2 [90/537] loss=0.1228 mask=0.1006 iou=0.0222
  Epoch 2 [100/537] loss=0.1206 mask=0.0992 iou=0.0214
  Epoch 2 [110/537] loss=0.1276 mask=0.1045 iou=0.0231
  Epoch 2 [120/537] loss=0.1266 mask=0.1039 iou=0.0227
  Epoch 2 [130/537] loss=0.1286 mask=0.1056 iou=0.0230
  Epoch 2 [140/537] loss=0.1272 mask=0.1045 iou=0.0227
  Epoch 2 [150/537] loss=0.1258 mask=0.1037 iou=0.0221
  Epoch 2 [160/537] loss=0.1238 mask=0.1024 iou=0.0214
  Epoch 2 [170/537] loss=0.1241 mask=0.1028 iou=0.0213
  Epoch 2 [180/537] loss=0.1242 mask=0.1029 iou=0.0212
