nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Loaded DINOv3 ViT-B/16 from /data3/LXT/data/checkpoint/dinov3/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 880  Val samples: 220

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 183,583,485  Trainable: 4,599,344

=== Phase1 Epoch 0/49 ===
  Epoch 1 [310/440] loss=0.1912 mask=0.1775 iou=0.0137
  Epoch 1 [320/440] loss=0.1917 mask=0.1781 iou=0.0136
  Epoch 1 [330/440] loss=0.1917 mask=0.1781 iou=0.0136
  Epoch 1 [340/440] loss=0.1913 mask=0.1777 iou=0.0136
  Epoch 1 [350/440] loss=0.1909 mask=0.1774 iou=0.0135
  Epoch 1 [360/440] loss=0.1898 mask=0.1765 iou=0.0133
  Epoch 1 [370/440] loss=0.1907 mask=0.1772 iou=0.0135
  Epoch 1 [380/440] loss=0.1906 mask=0.1772 iou=0.0134
  Epoch 1 [390/440] loss=0.1900 mask=0.1766 iou=0.0134
  Epoch 1 [400/440] loss=0.1896 mask=0.1762 iou=0.0134
  Epoch 1 [410/440] loss=0.1896 mask=0.1763 iou=0.0133
  Epoch 1 [420/440] loss=0.1896 mask=0.1763 iou=0.0133
  Epoch 1 [430/440] loss=0.1899 mask=0.1765 iou=0.0134
  Epoch 1 [440/440] loss=0.1896 mask=0.1763 iou=0.0133
  Train: loss=0.1896 mask=0.1763 iou=0.0133 time=255.1s
  Val epoch 1: loss=0.2175
  Saved best phase1 model (val_loss=0.2175)

=== Phase1 Epoch 2/49 ===
  Epoch 2 [10/440] loss=0.1498 mask=0.1442 iou=0.0056
  Epoch 2 [20/440] loss=0.1581 mask=0.1516 iou=0.0065
  Epoch 2 [30/440] loss=0.1645 mask=0.1582 iou=0.0063
  Epoch 2 [40/440] loss=0.1606 mask=0.1542 iou=0.0065
  Epoch 2 [50/440] loss=0.1665 mask=0.1592 iou=0.0073
  Epoch 2 [60/440] loss=0.1658 mask=0.1579 iou=0.0080
  Epoch 2 [70/440] loss=0.1673 mask=0.1594 iou=0.0079
  Epoch 2 [80/440] loss=0.1709 mask=0.1622 iou=0.0087
  Epoch 2 [90/440] loss=0.1765 mask=0.1663 iou=0.0103
  Epoch 2 [100/440] loss=0.1797 mask=0.1683 iou=0.0114
  Epoch 2 [110/440] loss=0.1786 mask=0.1669 iou=0.0117
  Epoch 2 [120/440] loss=0.1771 mask=0.1652 iou=0.0119
  Epoch 2 [130/440] loss=0.1746 mask=0.1630 iou=0.0115
  Epoch 2 [140/440] loss=0.1741 mask=0.1628 iou=0.0113
  Epoch 2 [150/440] loss=0.1743 mask=0.1627 iou=0.0116
  Epoch 2 [160/440] loss=0.1745 mask=0.1627 iou=0.0118
  Epoch 2 [170/440] loss=0.1731 mask=0.1616 iou=0.0116
  Epoch 2 [180/440] loss=0.1717 mask=0.1603 iou=0.0114
  Epoch 2 [190/440] loss=0.1733 mask=0.1614 iou=0.0119
  Epoch 2 [200/440] loss=0.1719 mask=0.1603 iou=0.0117
  Epoch 2 [210/440] loss=0.1727 mask=0.1611 iou=0.0116
  Epoch 2 [220/440] loss=0.1726 mask=0.1609 iou=0.0117
  Epoch 2 [230/440] loss=0.1713 mask=0.1598 iou=0.0115
  Epoch 2 [240/440] loss=0.1715 mask=0.1600 iou=0.0114
  Epoch 2 [250/440] loss=0.1725 mask=0.1608 iou=0.0116
  Epoch 2 [260/440] loss=0.1736 mask=0.1617 iou=0.0119
  Epoch 2 [270/440] loss=0.1732 mask=0.1614 iou=0.0118
  Epoch 2 [280/440] loss=0.1731 mask=0.1613 iou=0.0118
  Epoch 2 [290/440] loss=0.1723 mask=0.1607 iou=0.0116
  Epoch 2 [300/440] loss=0.1719 mask=0.1603 iou=0.0115
  Epoch 2 [310/440] loss=0.1718 mask=0.1602 iou=0.0117
  Epoch 2 [320/440] loss=0.1715 mask=0.1600 iou=0.0116
  Epoch 2 [330/440] loss=0.1707 mask=0.1592 iou=0.0115
  Epoch 2 [340/440] loss=0.1690 mask=0.1578 iou=0.0112
  Epoch 2 [350/440] loss=0.1692 mask=0.1579 iou=0.0112
  Epoch 2 [360/440] loss=0.1688 mask=0.1576 iou=0.0112
  Epoch 2 [370/440] loss=0.1681 mask=0.1570 iou=0.0111
  Epoch 2 [380/440] loss=0.1681 mask=0.1571 iou=0.0111
  Epoch 2 [390/440] loss=0.1676 mask=0.1566 iou=0.0109
  Epoch 2 [400/440] loss=0.1672 mask=0.1562 iou=0.0109
  Epoch 2 [410/440] loss=0.1671 mask=0.1563 iou=0.0108
  Epoch 2 [420/440] loss=0.1667 mask=0.1560 iou=0.0107
  Epoch 2 [430/440] loss=0.1666 mask=0.1559 iou=0.0107
  Epoch 2 [440/440] loss=0.1675 mask=0.1566 iou=0.0108
  Train: loss=0.1675 mask=0.1566 iou=0.0108 time=256.8s
  Val epoch 2: loss=0.1927
  Saved best phase1 model (val_loss=0.1927)

=== Phase1 Epoch 3/49 ===
  Epoch 3 [10/440] loss=0.1367 mask=0.1292 iou=0.0075
  Epoch 3 [20/440] loss=0.1379 mask=0.1318 iou=0.0061
  Epoch 3 [30/440] loss=0.1448 mask=0.1368 iou=0.0080
  Epoch 3 [40/440] loss=0.1494 mask=0.1414 iou=0.0080
  Epoch 3 [50/440] loss=0.1536 mask=0.1437 iou=0.0099
  Epoch 3 [60/440] loss=0.1573 mask=0.1472 iou=0.0101
  Epoch 3 [70/440] loss=0.1553 mask=0.1455 iou=0.0098
  Epoch 3 [80/440] loss=0.1565 mask=0.1470 iou=0.0096
  Epoch 3 [90/440] loss=0.1533 mask=0.1443 iou=0.0090
  Epoch 3 [100/440] loss=0.1519 mask=0.1433 iou=0.0086
  Epoch 3 [110/440] loss=0.1531 mask=0.1445 iou=0.0086
  Epoch 3 [120/440] loss=0.1516 mask=0.1430 iou=0.0086
  Epoch 3 [130/440] loss=0.1502 mask=0.1418 iou=0.0083
  Epoch 3 [140/440] loss=0.1507 mask=0.1426 iou=0.0082
  Epoch 3 [150/440] loss=0.1498 mask=0.1419 iou=0.0079
  Epoch 3 [160/440] loss=0.1506 mask=0.1427 iou=0.0079
  Epoch 3 [170/440] loss=0.1506 mask=0.1427 iou=0.0079
  Epoch 3 [180/440] loss=0.1511 mask=0.1432 iou=0.0079
  Epoch 3 [190/440] loss=0.1530 mask=0.1447 iou=0.0084
  Epoch 3 [200/440] loss=0.1525 mask=0.1441 iou=0.0084
  Epoch 3 [210/440] loss=0.1539 mask=0.1452 iou=0.0088
  Epoch 3 [220/440] loss=0.1540 mask=0.1453 iou=0.0087
  Epoch 3 [230/440] loss=0.1535 mask=0.1449 iou=0.0087
  Epoch 3 [240/440] loss=0.1544 mask=0.1455 iou=0.0088
  Epoch 3 [250/440] loss=0.1537 mask=0.1450 iou=0.0087
  Epoch 3 [260/440] loss=0.1545 mask=0.1457 iou=0.0088
  Epoch 3 [270/440] loss=0.1551 mask=0.1462 iou=0.0090
  Epoch 3 [280/440] loss=0.1552 mask=0.1461 iou=0.0091
  Epoch 3 [290/440] loss=0.1562 mask=0.1470 iou=0.0092
  Epoch 3 [300/440] loss=0.1551 mask=0.1460 iou=0.0091
  Epoch 3 [310/440] loss=0.1548 mask=0.1456 iou=0.0092
  Epoch 3 [320/440] loss=0.1565 mask=0.1469 iou=0.0096
  Epoch 3 [330/440] loss=0.1572 mask=0.1475 iou=0.0097
  Epoch 3 [340/440] loss=0.1570 mask=0.1472 iou=0.0098
  Epoch 3 [350/440] loss=0.1568 mask=0.1470 iou=0.0099
  Epoch 3 [360/440] loss=0.1569 mask=0.1470 iou=0.0100
  Epoch 3 [370/440] loss=0.1571 mask=0.1471 iou=0.0099
  Epoch 3 [380/440] loss=0.1569 mask=0.1470 iou=0.0099
  Epoch 3 [390/440] loss=0.1560 mask=0.1462 iou=0.0098
  Epoch 3 [400/440] loss=0.1559 mask=0.1462 iou=0.0098
  Epoch 3 [410/440] loss=0.1553 mask=0.1456 iou=0.0096
  Epoch 3 [420/440] loss=0.1549 mask=0.1453 iou=0.0096
  Epoch 3 [430/440] loss=0.1541 mask=0.1447 iou=0.0094
  Epoch 3 [440/440] loss=0.1538 mask=0.1445 iou=0.0094
  Train: loss=0.1538 mask=0.1445 iou=0.0094 time=247.1s
  Val epoch 3: loss=0.1842
  Saved best phase1 model (val_loss=0.1842)

=== Phase1 Epoch 4/49 ===
  Epoch 4 [10/440] loss=0.1427 mask=0.1314 iou=0.0113
  Epoch 4 [20/440] loss=0.1405 mask=0.1314 iou=0.0091
  Epoch 4 [30/440] loss=0.1450 mask=0.1364 iou=0.0087
  Epoch 4 [40/440] loss=0.1420 mask=0.1334 iou=0.0086
  Epoch 4 [50/440] loss=0.1456 mask=0.1366 iou=0.0090
  Epoch 4 [60/440] loss=0.1440 mask=0.1356 iou=0.0084
  Epoch 4 [70/440] loss=0.1444 mask=0.1356 iou=0.0087
  Epoch 4 [80/440] loss=0.1427 mask=0.1343 iou=0.0085
  Epoch 4 [90/440] loss=0.1458 mask=0.1372 iou=0.0086
  Epoch 4 [100/440] loss=0.1459 mask=0.1378 iou=0.0081
  Epoch 4 [110/440] loss=0.1459 mask=0.1378 iou=0.0080
  Epoch 4 [120/440] loss=0.1451 mask=0.1374 iou=0.0077
  Epoch 4 [130/440] loss=0.1467 mask=0.1386 iou=0.0081
  Epoch 4 [140/440] loss=0.1499 mask=0.1408 iou=0.0091
  Epoch 4 [150/440] loss=0.1469 mask=0.1379 iou=0.0090
  Epoch 4 [160/440] loss=0.1473 mask=0.1384 iou=0.0090
  Epoch 4 [170/440] loss=0.1468 mask=0.1378 iou=0.0090
  Epoch 4 [180/440] loss=0.1454 mask=0.1366 iou=0.0087
  Epoch 4 [190/440] loss=0.1444 mask=0.1359 iou=0.0085
  Epoch 4 [200/440] loss=0.1442 mask=0.1359 iou=0.0083
  Epoch 4 [210/440] loss=0.1421 mask=0.1340 iou=0.0081
  Epoch 4 [220/440] loss=0.1414 mask=0.1334 iou=0.0079
  Epoch 4 [230/440] loss=0.1409 mask=0.1330 iou=0.0079
  Epoch 4 [240/440] loss=0.1400 mask=0.1320 iou=0.0080
  Epoch 4 [250/440] loss=0.1394 mask=0.1315 iou=0.0079
  Epoch 4 [260/440] loss=0.1404 mask=0.1324 iou=0.0079
  Epoch 4 [270/440] loss=0.1411 mask=0.1333 iou=0.0079
  Epoch 4 [280/440] loss=0.1423 mask=0.1343 iou=0.0081
